dataset_name,model,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,label,module_id,project_name,probability,prediction,decision_threshold,is_correct,error_type,feature_family,feature_set,text_feature_column,uses_commit_text,artifact_schema_version,artifact_stage,artifact_id,artifact_group_key,artifact_created_at,source_results_table,model_path,split_mode,split_manifest_path,feature_metadata_json,num_features,training_mode,selection_rank,selected_reason,commit_text,la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp,jitline_split,commit_id,ent,nrev,rtime,hcmt,self,app,aexp,arexp,rrexp,asexp,rsexp,asawr,rsawr,N,V,L,D,I,E,B,T
cm1,xgb,38.0,5.0,1.0,5.0,176.0,1047.94,0.05,19.25,54.44,20172.82,0.35,1120.71,2.0,12.0,12.0,0.0,22.0,40.0,106.0,70.0,9.0,0,row_59,cm1,0.5867577791213989,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,21.0,4.0,1.0,3.0,61.0,310.34,0.1,10.26,30.24,3185.02,0.1,176.95,0.0,3.0,3.0,0.0,15.0,19.0,35.0,26.0,7.0,0,row_62,cm1,0.49587497115135193,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,14.0,2.0,1.0,1.0,25.0,97.67,0.09,11.0,8.88,1074.39,0.03,59.69,0.0,0.0,3.0,0.0,10.0,5.0,14.0,11.0,3.0,0,row_63,cm1,0.10842455178499222,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,29.0,5.0,1.0,2.0,111.0,569.35,0.05,20.78,27.4,11829.84,0.19,657.21,0.0,17.0,6.0,0.0,17.0,18.0,67.0,44.0,9.0,0,row_65,cm1,0.2477748841047287,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,14.0,2.0,1.0,1.0,56.0,260.06,0.14,7.07,36.78,1838.97,0.09,102.16,0.0,0.0,0.0,0.0,11.0,14.0,38.0,18.0,3.0,0,row_72,cm1,0.10842455178499222,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,10.0,1.0,1.0,1.0,10.0,28.07,0.5,2.0,14.04,56.15,0.01,3.12,0.0,1.0,5.0,0.0,4.0,3.0,7.0,3.0,1.0,0,row_81,cm1,0.09120435267686844,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,7.0,1.0,1.0,1.0,25.0,97.67,0.17,6.0,16.28,586.03,0.03,32.56,0.0,2.0,5.0,0.0,9.0,6.0,17.0,8.0,1.0,0,row_89,cm1,0.08814793080091476,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,15.0,2.0,1.0,1.0,60.0,285.29,0.13,7.6,37.54,2168.23,0.1,120.46,0.0,0.0,7.0,0.0,12.0,15.0,41.0,19.0,3.0,0,row_99,cm1,0.10842455178499222,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,19.0,1.0,1.0,1.0,64.0,293.44,0.1,9.73,30.16,2855.37,0.1,158.63,0.0,1.0,13.0,0.0,11.0,13.0,41.0,23.0,1.0,0,row_101,cm1,0.5455679893493652,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,30.0,4.0,1.0,4.0,122.0,630.73,0.05,20.71,30.45,13065.14,0.21,725.84,3.0,3.0,12.0,0.0,15.0,21.0,64.0,58.0,7.0,0,row_103,cm1,0.5756149888038635,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,17.0,2.0,1.0,1.0,53.0,252.01,0.07,14.38,17.53,3622.63,0.08,201.26,0.0,0.0,7.0,0.0,15.0,12.0,30.0,23.0,3.0,0,row_106,cm1,0.10842455178499222,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,17.0,2.0,1.0,1.0,53.0,252.01,0.07,14.38,17.53,3622.63,0.08,201.26,0.0,0.0,6.0,0.0,15.0,12.0,30.0,23.0,3.0,0,row_107,cm1,0.10842455178499222,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,12.0,1.0,1.0,1.0,29.0,110.41,0.3,3.33,33.12,368.04,0.04,20.45,0.0,0.0,0.0,0.0,5.0,9.0,17.0,12.0,1.0,0,row_122,cm1,0.18022356927394867,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,6.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,1.0,0,row_129,cm1,0.0904851034283638,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
